#Units1,batch_size,activation,lr,max_epochs,optimizer,weight_decay,momentum,nesterov,mean_train_score,mean_val_score,std_train_score,mean_fit_time,std_fit_time,rank_val_score
100,128,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.671799659729004,2.9391493002573648,0.08880292255583537,34.15842731793722,0.09850316244432192,48
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,True,2.4262568155924478,2.942673365275065,0.08114523529369501,34.18634661038717,0.1664329090574823,49
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,True,2.504418690999349,2.9431784947713218,0.07906514405017716,34.03760425249735,0.2799493556853278,50
150,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,True,2.240264574686686,2.9434827168782554,0.08459609230452406,51.558408419291176,0.08899841918934599,51
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,True,2.407547950744629,2.9436416625976562,0.06218210557539948,33.586705446243286,0.2312408651996849,52
100,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,True,2.1434646447499595,2.944729725519816,0.09718258469426287,51.13342094421387,0.26858478572218053,53
50,128,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.6611455281575522,2.9465197722117105,0.09524004014266979,33.68585101763407,0.14826134817711,54
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,True,2.512422959009806,2.9487531185150146,0.06858175561871042,33.598321517308555,0.24323552435183016,55
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,True,2.411596695582072,2.9516543547312417,0.06758432208466467,50.78655950228373,0.22790082872587178,56
150,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,True,2.2990167140960693,2.952408234278361,0.09325860115185074,51.791770219802856,0.09047037821653688,57
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,True,2.43978222211202,2.952932516733805,0.07420405169541619,50.49621860186259,0.25722066584925146,58
150,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,True,2.315563917160034,2.9532337188720703,0.0960727775920353,51.71412022908529,0.2970041343918377,59
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,True,2.589975277582804,2.9536074797312417,0.0587421350739798,34.15637358029684,0.012754492377763318,60
150,128,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.6999570528666177,2.954850991566976,0.10065817011919888,34.6215398311615,0.07092217687806689,61
150,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.4,True,2.51838747660319,2.9548614025115967,0.06784613978610828,34.58053692181905,0.3092073076236783,62
50,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,True,2.664703607559204,2.960428237915039,0.09155599653207276,50.57730054855347,0.2067024369233361,63
150,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,True,2.5064992109934487,2.9615748723347983,0.087017779017149,34.76701251665751,0.11742171060398286,64
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.312276601791382,2.964872678120931,0.04587042424538743,33.50861120223999,0.20866727918248823,65
150,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,True,2.395421107610067,2.9656625588734946,0.05750479236360897,34.597851276397705,0.31279892131775466,66
150,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,True,2.719205061594645,2.9665745894114175,0.09119786491093818,51.225080808003746,0.23981600486142188,67
100,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,True,2.147146463394165,2.9693001906077066,0.07313184748917677,51.2381366888682,0.15802303711148416,68
150,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,True,2.6046601931254068,2.969965696334839,0.06420978717604092,34.548975467681885,0.25485759985632656,69
100,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,True,2.2433205445607505,2.9703702131907144,0.054116116809629154,51.1821076075236,0.08504218333657534,70
150,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,True,2.4950360457102456,2.970766623814901,0.0669866211635192,34.449359019597374,0.2944443339156331,71
150,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,True,2.629180669784546,2.9794527689615884,0.07279917735045627,34.781375090281166,0.12531604569860524,72
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,True,2.637404680252075,2.980884552001953,0.07842731399871972,34.060486237208046,0.35917868954953586,73
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.082583745320638,2.9825695355733237,0.08541127887624242,50.47550257047018,0.3162302234375027,74
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,True,2.5294644832611084,2.9844979445139566,0.06230469666434241,33.80004366238912,0.08924879542382026,75
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.2312703927357993,2.9862941900889077,0.07198355360450494,33.6434523264567,0.20791422599326173,76
150,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,True,2.436019500096639,2.990114132563273,0.08945653487638572,34.56272578239441,0.28490825028708655,77
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,True,2.60521133740743,2.992546558380127,0.07546853732427568,34.12689789136251,0.24906334922440762,78
