#Units1,#Units2,activation,batch_size,lr,max_epochs,optimizer,weight_decay,momentum,mean_train_score,mean_val_score,std_train_score,mean_fit_time,std_fit_time,rank_val_score
50,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,2.654386599858602,2.9161131381988525,0.0791628488621844,57.2086288134257,0.29533468440998184,34
50,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.6687703132629395,2.921300490697225,0.07185332972993759,87.37923081715901,1.1698496042246607,35
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.2489778995513916,2.9244503180185952,0.09700470952781629,87.36554757754008,0.9603633966805062,36
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.304737408955892,2.925751050313314,0.10848001910781759,87.35308225949605,1.012822975395038,37
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,1219,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.4138607184092202,2.926785945892334,0.048430055258141785,27.62394642829895,0.186702399514916,38
30,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,2.6503072579701743,2.928034861882528,0.06820018239447585,87.80012504259746,2.129941530430459,39
30,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,2.6720970471700034,2.928896347681681,0.06707308067786182,86.47990028063457,0.7927952244557014,40
30,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.668682257334391,2.9292439619700112,0.08160776815430416,91.65214538574219,0.7489877841795672,41
30,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,2.6626418431599936,2.929488023122152,0.08296444030645156,59.17659592628479,0.7756104399004048,42
50,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.647400458653768,2.9298806190490723,0.10464062923064889,56.99165940284729,0.34519318296228324,43
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,1219,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.3844083150227866,2.9300665060679116,0.053603518574535526,27.525527159372967,0.23872752038482972,44
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,1219,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.4177677631378174,2.9325033028920493,0.0728564186197282,26.88962197303772,0.2224335538478403,45
30,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.23760994275411,2.933614651362101,0.09223525763513582,86.8150331179301,1.044471183662908,46
50,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,2.7096553643544516,2.9344285329182944,0.07738090481927047,86.30378293991089,0.543528702309386,47
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.3063976764678955,2.936065673828125,0.06784043966406345,86.96352211634319,0.8020483003428064,48
