#Units,batch_size,lr,max_epochs,optimizer,weight_decay,momentum,mean_train_score,mean_val_score,std_train_score,rank_val_score
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.3361566066741943,4.040165185928345,0.3277723814184308,97
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.891160329182943,4.069352785746257,0.12092677231676793,98
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.9044644037882485,4.093814055124919,0.09814908356140042,99
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.8941383361816406,4.102864821751912,0.12446137583207344,100
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.9118587970733643,4.104985952377319,0.14478019022430377,101
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.93584672609965,4.118988990783691,0.11529210144199435,102
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.953377644220988,4.1401857535044355,0.07197006425956502,103
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.984473625818888,4.1494433879852295,0.07252543801294027,104
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.9875098864237466,4.161476453145345,0.11286263672937008,105
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.270045359929403,4.164826234181722,0.3584327819366836,106
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.9808766841888428,4.172269264856975,0.09905656302252545,107
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,2.9870421091715493,4.17918602625529,0.17025388067882563,108
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,3.9922756354014077,4.182770411173503,0.12253938810782974,109
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,3.971055507659912,4.1828263600667315,0.09445325339620679,110
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,4.015865723292033,4.185187816619873,0.1594010972286295,111
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,4.013148705164592,4.1863663991292315,0.17559396531959878,112
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,4.030559142430623,4.1911429564158125,0.1402172935486991,113
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,4.046987374623616,4.208496650060018,0.08836965888247482,114
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,4.061662197113037,4.237405141194661,0.14305471812123188,115
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,4.074220180511475,4.239553292592366,0.15567869367823678,116
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,4.082467079162598,4.266551971435547,0.07192018177764771,117
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,3.703427712122599,4.313130696614583,0.49661355121187,118
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.9146176973978677,4.313138484954834,0.456739980716195,119
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.5477718512217202,4.337887763977051,0.21764058815163384,120
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,4.148198127746582,4.348976771036784,0.14487770994288332,121
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.3464667797088623,4.356654008229573,0.3640244576744148,122
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.4875702063242593,4.359719117482503,0.41084649139151647,123
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,4.184486071268718,4.371072451273601,0.11385233593137625,124
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,4.19532569249471,4.381981372833252,0.09733925156601039,125
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,4.226009845733643,4.396868705749512,0.12067953120710909,126
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,4.247297445933024,4.39984655380249,0.07477113255667082,127
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,4.275956153869629,4.446398417154948,0.12906693813585784,128
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.714271863301595,4.591002623240153,0.5141237030981923,129
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,4.087359269460042,4.600176811218262,0.5396955094402006,130
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,3.8896067142486572,4.664249976476033,0.60963763766003,131
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,3.9266392389933267,4.686531146367391,0.5242864148567873,132
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,4.254902601242065,4.695248365402222,0.4398785972863749,133
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.7891735235850015,4.70595121383667,0.2931144579093925,134
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,4.367027997970581,4.746467113494873,0.34891531186304525,135
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,4.616752624511719,4.770711421966553,0.1357398266554702,136
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,4.639270464579265,4.807614167531331,0.15606929577407,137
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,4.64042854309082,4.8188581466674805,0.114996647853526,138
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,4.394558986028035,4.82569162050883,0.6563458225041694,139
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,4.304003556569417,4.828754266103108,0.47303492108053163,140
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,4.363389333089192,4.841047843297322,0.9385708968183231,141
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,4.649295012156169,4.852795600891113,0.051141825300566136,142
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,4.665224075317383,4.859854539235433,0.19321432420121787,143
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,4.277526299158732,4.870431423187256,0.7189938937502207,144
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,4.39351224899292,4.882623354593913,0.6643665258825606,145
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,4.155903736750285,4.90916124979655,0.19233812276311646,146
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,4.732262134552002,4.928971131642659,0.11810883940636349,147
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,4.52746057510376,4.949603001276652,0.6701865392596499,148
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,4.275301376978557,4.951747179031372,0.8172232346774992,149
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,4.388346751530965,4.970305760701497,0.8741446081776737,150
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,4.1524092356363935,4.987980047861735,0.3309237296345118,151
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,4.462068557739258,4.996750195821126,0.09530550053373145,152
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,4.8643120129903155,5.038447856903076,0.08273953765579489,153
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,4.470354954401652,5.060353914896647,0.44920393796135033,154
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,4.384535471598308,5.068991184234619,0.41322042947337373,155
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,4.881339073181152,5.07613738377889,0.14428474322107698,156
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,4.598344087600708,5.098137219746907,0.5659171993909493,157
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,4.608398914337158,5.137739976247151,0.24828597554209234,158
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,4.930543104807536,5.141927401224772,0.2136769976340395,159
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.9722763697306314,5.144362449645996,1.1548967251697533,160
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,4.956186771392822,5.144536972045898,0.0986174351018039,161
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,4.719354867935181,5.185684998830159,1.3476935243550063,162
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,4.996236483256022,5.195359071095784,0.15588102366889187,163
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,4.939483165740967,5.221427917480469,0.581548598997139,164
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,4.885409514109294,5.229551474253337,0.8131784869889396,165
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,5.162534236907959,5.345688501993815,0.23993230492923093,166
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,4.8137688636779785,5.3643004099528,0.7935755417122423,167
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,5.000883420308431,5.368247667948405,0.41812568350393275,168
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,5.020628929138184,5.438587347666423,0.7129934424660456,169
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,5.299837430318196,5.484054406483968,0.10269929894366728,170
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,5.222053448359172,5.533462127049764,1.1152739387949484,171
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,5.221202691396077,5.640537103017171,0.31199717998451026,172
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,5.506806214650472,5.644200483957927,0.11326028400628002,173
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,5.5838942527771,5.761636416117351,0.10870223028684109,174
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,5.161759694417317,5.762796560923259,0.7378862628626974,175
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,5.5839230219523115,5.764125029246013,0.08511145244443238,176
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,5.411543687184651,5.793949604034424,1.0471475522502276,177
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,5.4918437004089355,5.8131968180338545,0.9308766757380181,178
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,5.633167266845703,5.815715471903483,0.1421383724451242,179
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,5.659047603607178,5.827115058898926,0.13764584508172006,180
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,5.51054843266805,5.850922425587972,0.09542225156995189,181
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,5.697357813517253,5.862276077270508,0.17399979080609895,182
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,5.729614893595378,5.8723985354105634,0.1816543744532216,183
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,5.6838358243306475,5.882915178934733,0.5192974868337336,184
100,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,5.366529941558838,5.886955579121907,0.886066472426728,185
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,5.6346456209818525,5.905023097991943,0.9979729025389935,186
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,5.658209800720215,5.907137870788574,0.7982708083850325,187
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,5.764107863108317,5.9079461097717285,0.32549564570693995,188
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,5.740244547526042,5.925192197163899,0.13781826618759974,189
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,5.77462911605835,5.93548583984375,0.14296953288201092,190
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,5.944143136342366,6.015674591064453,0.7273064141922613,191
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,5.5261335372924805,6.055349985758464,0.8543067426008323,192
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,6.054597854614258,6.072390874226888,1.32402715103555,193
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,5.744723955790202,6.113635381062825,0.6931366751903231,194
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,5.591569741566976,6.119547208150228,0.4304195249293114,195
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,5.7915143966674805,6.137675126393636,0.580374742064593,196
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,5.999489943186442,6.1475749015808105,0.40179957073157824,197
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,5.755940755208333,6.1780924797058105,0.8003393320854225,198
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,5.981671969095866,6.181802431742351,0.14303639681547628,199
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,5.872789223988851,6.211693286895752,0.4637136733963237,200
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,6.142620881398519,6.255807876586914,0.021885886419190974,201
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,6.0277228355407715,6.285283088684082,0.9170680763160032,202
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,6.2224381764729815,6.391043027242024,1.334593158619747,203
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,6.307807445526123,6.417778333028157,0.0874786720852,204
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,6.0398268699646,6.426615397135417,0.5117116744488042,205
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,6.098865826924642,6.457095623016357,0.5595072851886691,206
