rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,init_mode,learn_rate,momentum,nesterov,param_neurons_layer_1,weight_decay,mean_fit_time
427,6.4413479169209795,0.3303225671118843,6.213365077972412,0.2393717365743749,relu,256,300,glorot_uniform,0.1,0.0,False,80,0.0001,0.9248022238413492
428,6.449551582336426,0.4817126123404037,6.139591693878174,0.3707703200628079,relu,64,300,glorot_uniform,0.1,0.9,False,40,0.1,1.664563258488973
429,6.455175399780273,0.17597093281209875,6.300410270690918,0.03822790913479651,relu,64,300,glorot_uniform,0.001,0.4,False,80,0.0001,2.035580555597941
430,6.475460052490234,0.23318552066295772,6.364474455515544,0.029175831359268593,relu,1219,300,glorot_uniform,0.1,0.2,False,120,0.01,0.6789717674255371
431,6.503038088480632,0.11381693791276559,6.365407466888428,0.04839424798649968,relu,64,300,glorot_uniform,0.001,0.4,False,80,0.01,1.7951491673787434
432,6.503285884857178,1.293179273827099,6.4451877276102705,1.458071891527615,relu,128,300,glorot_uniform,0.1,0.2,False,80,0.001,1.3888595898946126
433,6.51989221572876,1.4104937314461616,6.622413317362468,1.4647684724203427,relu,256,300,glorot_uniform,0.3,0.0,False,80,0.01,1.0130325158437092
434,6.5231404304504395,0.600693051392363,6.492147127787272,0.46624775250490164,relu,256,300,glorot_uniform,0.1,0.0,False,40,0.01,0.8838489850362142
435,6.560306708017985,0.6692513004469668,6.301579475402832,0.6673631725354172,relu,128,300,glorot_uniform,0.3,0.0,False,120,0.1,1.567568063735962
436,6.560586452484131,0.31971619243955923,6.328877766927083,0.17502254160113342,relu,256,300,glorot_uniform,0.3,0.2,False,40,0.001,1.0187504291534424
437,6.561008294423421,1.751616789179896,6.35234800974528,1.9907303083376302,relu,256,300,glorot_uniform,0.3,0.2,False,120,0.0001,0.9630201657613119
438,6.562623659769694,0.11358105158244597,6.413867155710856,0.07294543139923353,relu,64,300,glorot_uniform,0.001,0.4,False,40,0.001,2.0197384357452393
439,6.569330374399821,0.13867263887989428,6.409278869628906,0.11064256091403271,relu,64,300,glorot_uniform,0.001,0.4,False,40,0.0001,1.8954468568166096
440,6.591566721598308,0.1292974161594028,6.463740507761638,0.00717694262872469,relu,64,300,glorot_uniform,0.001,0.4,False,120,0.01,2.0392364660898843
441,6.593088308970134,0.5509721038750689,6.334240595499675,0.8293346308612567,relu,128,300,glorot_uniform,0.1,0.0,False,40,0.001,1.2748194535573323
442,6.6044901212056475,0.7875196050528677,6.510892550150554,0.7986806174281078,relu,128,300,glorot_uniform,0.1,0.2,False,120,0.01,1.3330638408660889
443,6.656421820322673,0.14671424056878077,6.49335241317749,0.11742910876404859,relu,64,300,glorot_uniform,0.001,0.4,False,40,0.01,1.9580295880635579
444,6.687245686848958,0.28130713605033403,6.663707256317139,0.24154725892163675,relu,1219,300,glorot_uniform,0.1,0.4,False,120,0.1,0.6522785822550455
445,6.704410552978516,2.0403660796187055,6.537842591603597,2.2493076600948236,relu,256,300,glorot_uniform,0.3,0.2,False,80,0.001,0.9509531656901041
446,6.7268422444661455,0.4103115402564124,6.749197800954183,0.5228407018348912,relu,256,300,glorot_uniform,0.1,0.4,False,120,0.1,1.0700178146362305
447,6.7284166018168134,1.0186552300728535,6.873666127522786,0.7341018669692834,relu,64,300,glorot_uniform,0.3,0.2,False,40,0.1,1.7003682454427083
448,6.800090630849202,0.2415578461505834,6.646783510843913,0.09334735150823083,relu,1219,300,glorot_uniform,0.1,0.0,False,80,0.0001,0.6026602586110433
449,6.824603239695231,0.785856897202711,6.646472771962483,0.8216258122993794,relu,64,300,glorot_uniform,0.3,0.4,False,40,0.1,1.7004780769348145
450,6.842662811279297,0.19990425371952028,6.731974283854167,0.03677799646766777,relu,1219,300,glorot_uniform,0.1,0.0,False,120,0.001,0.5774900118509928
451,6.843283653259277,0.756941059866728,6.626233259836833,0.742625867268105,relu,128,300,glorot_uniform,0.1,0.0,False,40,0.0001,1.0848886966705322
452,6.860312302907308,0.2501141177416455,6.7658460934956866,0.02738866286748838,relu,1219,300,glorot_uniform,0.1,0.0,False,40,0.001,0.5752713680267334
453,6.863297462463379,1.190733903969887,6.952946186065674,0.9468125788662293,relu,64,300,glorot_uniform,0.3,0.4,False,120,0.1,1.7799568970998128
454,6.86926285425822,1.5816150426738904,6.747211774190267,1.358109099173904,relu,256,300,glorot_uniform,0.3,0.2,False,120,0.01,1.1374553839365642
455,6.87984037399292,1.08409918007721,6.498884042104085,1.0128973256968976,relu,256,300,glorot_uniform,0.3,0.0,False,120,0.001,1.0241676966349285
456,6.885849475860596,0.11343349527431361,6.796522776285808,0.19610408056171588,relu,1219,300,glorot_uniform,0.1,0.0,False,40,0.0001,0.5786190032958984
457,6.893876234690349,0.19352395659555408,6.881031036376953,0.36818985844623575,relu,256,300,glorot_uniform,0.3,0.2,False,80,0.1,0.9393980503082275
458,6.8997853597005205,0.9423332422128811,6.896164735158284,1.0706041183832138,relu,128,300,glorot_uniform,0.1,0.0,False,40,0.01,1.187687635421753
459,6.913666725158691,0.09607078419827322,6.895265420277913,0.21209318225815893,relu,128,300,glorot_uniform,0.1,0.0,False,80,0.01,1.171885887781779
460,6.930827458699544,0.6203259570532471,6.7982856432596845,0.7590163095521393,relu,128,300,glorot_uniform,0.1,0.2,False,80,0.1,1.3619688351949055
